t,velL,velR,velL_sp,velR_sp,mL,mR,rawL,rawR
327.535556,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.537552,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.539576,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.541552,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.543572,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.545579,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.547575,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.549552,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.551552,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.553552,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.555552,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.557552,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.559552,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.561552,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.563552,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.565552,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.567552,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.569552,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.571552,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.573552,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.575552,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.577552,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.579552,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.581552,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.583552,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.585552,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.587557,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.589550,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.591552,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.593552,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.595552,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.597552,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.599552,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.601552,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.603552,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.605552,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.607552,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.609552,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.611552,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.613553,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.615552,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.617552,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.619560,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.621613,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.623552,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.625568,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.627552,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.629552,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.631552,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.633552,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.635552,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.637552,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.639552,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.641552,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.643552,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.645552,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.647552,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.649552,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.651552,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.653552,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.655552,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.657552,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.659552,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.661552,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.663552,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.665552,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.667552,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.669552,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.671552,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.673552,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.675552,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.677552,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.679552,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.681552,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.683552,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.685552,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.687552,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.689552,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.691552,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.693552,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.695552,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.697552,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.699552,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.701552,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.703552,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.705552,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.707552,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.709552,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.711552,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.713552,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.715552,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.717552,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
327.719552,0.000000,0.000000,0.000000,0.000000,0.028411,0.032061,0.028411,0.032061
