t,velL,velR,velL_sp,velR_sp,mL,mR,rawL,rawR
1379.072367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.074357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.076367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.078357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.080367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.082357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.084367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.086357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.088367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.090357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.092367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.094357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.096367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.098357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.100367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.102359,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.104357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.106357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.108367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.110357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.112357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.114357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.116359,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.118357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.120367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.122357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.124367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.126357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.128367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.130357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.132367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.134357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.136359,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.138377,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.140423,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.142373,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.144359,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.146357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.148367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.150357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.152367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.154357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.156367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.158357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.160367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.162357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.164358,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.166373,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.168357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.170357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.172367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.174357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.176367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.178357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.180367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.182357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.184367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.186357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.188367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.190357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.192367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.194357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.196367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.198357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.200367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
