t,velL,velR,velL_sp,velR_sp,mL,mR
296.831776,0.000000,0.000000,,,0.000000,0.000000
296.836772,0.000000,0.000000,,,0.000000,0.000000
296.841764,0.000000,0.000000,,,0.000000,0.000000
296.846764,0.000000,0.000000,,,0.000000,0.000000
296.851764,0.000000,0.000000,,,0.000000,0.000000
296.856764,0.000000,0.000000,,,0.000000,0.000000
296.861764,0.000000,0.000000,,,0.000000,0.000000
296.866764,0.000000,0.000000,,,0.000000,0.000000
296.871764,0.000000,0.000000,,,0.000000,0.000000
296.876764,0.000000,0.000000,,,0.000000,0.000000
296.881764,0.000000,0.000000,,,0.000000,0.000000
296.886764,0.000000,0.000000,,,0.000000,0.000000
296.891764,0.000000,0.000000,,,0.000000,0.000000
296.896764,0.000000,0.000000,,,0.000000,0.000000
296.901764,0.000000,0.000000,,,0.000000,0.000000
296.906765,0.000000,0.000000,,,0.000000,0.000000
296.911765,0.000000,0.000000,,,0.000000,0.000000
296.916776,0.000000,0.000000,,,0.000000,0.000000
296.921787,0.000000,0.000000,,,0.000000,0.000000
296.926777,0.000000,0.000000,,,0.000000,0.000000
296.931764,0.000000,0.000000,,,0.000000,0.000000
296.936764,0.000000,0.000000,,,0.000000,0.000000
296.941764,0.000000,0.000000,,,0.000000,0.000000
296.946764,0.000000,0.000000,,,0.000000,0.000000
296.951764,0.000000,0.000000,,,0.000000,0.000000
296.956764,0.000000,0.000000,,,0.000000,0.000000
296.961764,0.000000,0.000000,,,0.000000,0.000000
296.966764,0.000000,0.000000,,,0.000000,0.000000
296.971764,0.000000,0.000000,,,0.000000,0.000000
296.976764,0.000000,0.000000,,,0.000000,0.000000
296.981764,0.000000,0.000000,,,0.000000,0.000000
296.986764,0.000000,0.000000,,,0.000000,0.000000
296.991764,0.000000,0.000000,,,0.000000,0.000000
296.996764,0.000000,0.000000,,,0.000000,0.000000
297.001764,0.000000,0.000000,,,0.000000,0.000000
297.006764,0.000000,0.000000,,,0.000000,0.000000
297.011765,0.000000,0.000000,,,0.000000,0.000000
297.016764,0.000000,0.000000,,,0.000000,0.000000
297.021764,0.000000,0.000000,,,0.000000,0.000000
297.026764,0.000000,0.000000,,,0.000000,0.000000
297.031764,0.000000,0.000000,,,0.000000,0.000000
297.036764,0.000000,0.000000,,,0.000000,0.000000
297.041764,0.000000,0.000000,,,0.000000,0.000000
297.046764,0.000000,0.000000,,,0.000000,0.000000
297.051764,0.000000,0.000000,,,0.000000,0.000000
297.056764,0.000000,0.000000,,,0.000000,0.000000
297.061764,0.000000,0.000000,,,0.000000,0.000000
297.066764,0.000000,0.000000,,,0.000000,0.000000
297.071764,0.000000,0.000000,,,0.000000,0.000000
297.076764,0.000000,0.000000,,,0.000000,0.000000
297.081764,0.000000,0.000000,,,0.000000,0.000000
297.086764,0.000000,0.000000,,,0.000000,0.000000
297.091764,0.000000,0.000000,,,0.000000,0.000000
297.096764,0.000000,0.000000,,,0.000000,0.000000
297.101764,0.000000,0.000000,,,0.000000,0.000000
297.106764,0.000000,0.000000,,,0.000000,0.000000
297.111764,0.000000,0.000000,,,0.000000,0.000000
297.116764,0.000000,0.000000,,,0.000000,0.000000
297.121764,0.000000,0.000000,,,0.000000,0.000000
297.126764,0.000000,0.000000,,,0.000000,0.000000
297.131764,0.000000,0.000000,,,0.000000,0.000000
297.136764,0.000000,0.000000,,,0.000000,0.000000
297.141764,0.000000,0.000000,,,0.000000,0.000000
297.146764,0.000000,0.000000,,,0.000000,0.000000
297.151764,0.000000,0.000000,,,0.000000,0.000000
