t,velL,velR,velL_sp,velR_sp,mL,mR,uL,uR
57.351676,0.000000,0.000000,,,0.000000,0.000000,,
57.356672,0.000000,0.000000,,,0.000000,0.000000,,
57.361652,0.000000,0.000000,,,0.000000,0.000000,,
57.366652,0.000000,0.000000,,,0.000000,0.000000,,
57.371652,0.000000,0.000000,,,0.000000,0.000000,,
57.376652,0.000000,0.000000,,,0.000000,0.000000,,
57.381652,0.000000,0.000000,,,0.000000,0.000000,,
57.386652,0.000000,0.000000,,,0.000000,0.000000,,
57.391652,0.000000,0.000000,,,0.000000,0.000000,,
57.396652,0.000000,0.000000,,,0.000000,0.000000,,
57.401652,0.000000,0.000000,,,0.000000,0.000000,,
57.406653,0.000000,0.000000,,,0.000000,0.000000,,
57.411652,0.000000,0.000000,,,0.000000,0.000000,,
57.416652,0.000000,0.000000,,,0.000000,0.000000,,
57.421652,0.000000,0.000000,,,0.000000,0.000000,,
57.426676,0.000000,0.000000,,,0.000000,0.000000,,
57.431698,0.000000,0.000000,,,0.000000,0.000000,,
57.436672,0.000000,0.000000,,,0.000000,0.000000,,
57.441652,0.000000,0.000000,,,0.000000,0.000000,,
57.446652,0.000000,0.000000,,,0.000000,0.000000,,
57.451652,0.000000,0.000000,,,0.000000,0.000000,,
57.456652,0.000000,0.000000,,,0.000000,0.000000,,
57.461652,0.000000,0.000000,,,0.000000,0.000000,,
57.466652,0.000000,0.000000,,,0.000000,0.000000,,
57.471652,0.000000,0.000000,,,0.000000,0.000000,,
57.476652,0.000000,0.000000,,,0.000000,0.000000,,
57.481672,0.000000,0.000000,,,0.000000,0.000000,,
57.486652,0.000000,0.000000,,,0.000000,0.000000,,
57.491652,0.000000,0.000000,,,0.000000,0.000000,,
57.496652,0.000000,0.000000,,,0.000000,0.000000,,
57.501652,0.000000,0.000000,,,0.000000,0.000000,,
57.506652,0.000000,0.000000,,,0.000000,0.000000,,
57.511652,0.000000,0.000000,,,0.000000,0.000000,,
57.516652,0.000000,0.000000,,,0.000000,0.000000,,
57.521652,0.000000,0.000000,,,0.000000,0.000000,,
57.526652,0.000000,0.000000,,,0.000000,0.000000,,
57.531652,0.000000,0.000000,,,0.000000,0.000000,,
57.536652,0.000000,0.000000,,,0.000000,0.000000,,
57.541652,0.000000,0.000000,,,0.000000,0.000000,,
57.546652,0.000000,0.000000,,,0.000000,0.000000,,
57.551652,0.000000,0.000000,,,0.000000,0.000000,,
57.556652,0.000000,0.000000,,,0.000000,0.000000,,
57.561652,0.000000,0.000000,,,0.000000,0.000000,,
57.566652,0.000000,0.000000,,,0.000000,0.000000,,
57.571652,0.000000,0.000000,,,0.000000,0.000000,,
57.576652,0.000000,0.000000,,,0.000000,0.000000,,
57.581652,0.000000,0.000000,,,0.000000,0.000000,,
57.586652,0.000000,0.000000,,,0.000000,0.000000,,
57.591652,0.000000,0.000000,,,0.000000,0.000000,,
57.596652,0.000000,0.000000,,,0.000000,0.000000,,
57.601652,0.000000,0.000000,,,0.000000,0.000000,,
57.606652,0.000000,0.000000,,,0.000000,0.000000,,
57.611652,0.000000,0.000000,,,0.000000,0.000000,,
57.616652,0.000000,0.000000,,,0.000000,0.000000,,
57.621652,0.000000,0.000000,,,0.000000,0.000000,,
57.626652,0.000000,0.000000,,,0.000000,0.000000,,
57.631652,0.000000,0.000000,,,0.000000,0.000000,,
57.636652,0.000000,0.000000,,,0.000000,0.000000,,
57.641652,0.000000,0.000000,,,0.000000,0.000000,,
57.646652,0.000000,0.000000,,,0.000000,0.000000,,
57.651652,0.000000,0.000000,,,0.000000,0.000000,,
57.656652,0.000000,0.000000,,,0.000000,0.000000,,
57.661652,0.000000,0.000000,,,0.000000,0.000000,,
57.666652,0.000000,0.000000,,,0.000000,0.000000,,
57.671652,0.000000,0.000000,,,0.000000,0.000000,,
57.676652,0.000000,0.000000,,,0.000000,0.000000,,
57.681652,0.000000,0.000000,,,0.000000,0.000000,,
57.686652,0.000000,0.000000,,,0.000000,0.000000,,
57.691652,0.000000,0.000000,,,0.000000,0.000000,,
57.696672,0.000000,0.000000,,,0.000000,0.000000,,
57.701652,0.000000,0.000000,,,0.000000,0.000000,,
57.706652,0.000000,0.000000,,,0.000000,0.000000,,
57.711652,0.000000,0.000000,,,0.000000,0.000000,,
57.716652,0.000000,0.000000,,,0.000000,0.000000,,
57.721652,0.000000,0.000000,,,0.000000,0.000000,,
57.726652,0.000000,0.000000,,,0.000000,0.000000,,
57.731652,0.000000,0.000000,,,0.000000,0.000000,,
57.736652,0.000000,0.000000,,,0.000000,0.000000,,
57.741652,0.000000,0.000000,,,0.000000,0.000000,,
57.746652,0.000000,0.000000,,,0.000000,0.000000,,
57.751652,0.000000,0.000000,,,0.000000,0.000000,,
57.756652,0.000000,0.000000,,,0.000000,0.000000,,
57.761652,0.000000,0.000000,,,0.000000,0.000000,,
57.766652,0.000000,0.000000,,,0.000000,0.000000,,
57.771652,0.000000,0.000000,,,0.000000,0.000000,,
57.776652,0.000000,0.000000,,,0.000000,0.000000,,
57.781652,0.000000,0.000000,,,0.000000,0.000000,,
57.786652,0.000000,0.000000,,,0.000000,0.000000,,
57.791652,0.000000,0.000000,,,0.000000,0.000000,,
57.796652,0.000000,0.000000,,,0.000000,0.000000,,
57.801652,0.000000,0.000000,,,0.000000,0.000000,,
57.806652,0.000000,0.000000,,,0.000000,0.000000,,
57.811652,0.000000,0.000000,,,0.000000,0.000000,,
57.816652,0.000000,0.000000,,,0.000000,0.000000,,
57.821652,0.000000,0.000000,,,0.000000,0.000000,,
57.826652,0.000000,0.000000,,,0.000000,0.000000,,
57.831652,0.000000,0.000000,,,0.000000,0.000000,,
57.836652,0.000000,0.000000,,,0.000000,0.000000,,
57.841652,0.000000,0.000000,,,0.000000,0.000000,,
57.846652,0.000000,0.000000,,,0.000000,0.000000,,
57.851661,0.000000,0.000000,,,0.000000,0.000000,,
57.856676,0.000000,0.000000,,,0.000000,0.000000,,
57.861652,0.000000,0.000000,,,0.000000,0.000000,,
57.866652,0.000000,0.000000,,,0.000000,0.000000,,
57.871652,0.000000,0.000000,,,0.000000,0.000000,,
57.876652,0.000000,0.000000,,,0.000000,0.000000,,
57.881652,0.000000,0.000000,,,0.000000,0.000000,,
57.886652,0.000000,0.000000,,,0.000000,0.000000,,
57.891652,0.000000,0.000000,,,0.000000,0.000000,,
57.896652,0.000000,0.000000,,,0.000000,0.000000,,
57.901652,0.000000,0.000000,,,0.000000,0.000000,,
57.906652,0.000000,0.000000,,,0.000000,0.000000,,
57.911652,0.000000,0.000000,,,0.000000,0.000000,,
57.916656,0.000000,0.000000,,,0.000000,0.000000,,
57.921652,0.000000,0.000000,,,0.000000,0.000000,,
57.926653,0.000000,0.000000,,,0.000000,0.000000,,
57.931693,0.000000,0.000000,,,0.000000,0.000000,,
57.936672,0.000000,0.000000,,,0.000000,0.000000,,
57.941652,0.000000,0.000000,,,0.000000,0.000000,,
57.946652,0.000000,0.000000,,,0.000000,0.000000,,
57.951652,0.000000,0.000000,,,0.000000,0.000000,,
57.956652,0.000000,0.000000,,,0.000000,0.000000,,
57.961652,0.000000,0.000000,,,0.000000,0.000000,,
57.966652,0.000000,0.000000,,,0.000000,0.000000,,
57.971652,0.000000,0.000000,,,0.000000,0.000000,,
57.976652,0.000000,0.000000,,,0.000000,0.000000,,
57.981652,0.000000,0.000000,,,0.000000,0.000000,,
57.986652,0.000000,0.000000,,,0.000000,0.000000,,
57.991652,0.000000,0.000000,,,0.000000,0.000000,,
57.996652,0.000000,0.000000,,,0.000000,0.000000,,
58.001652,0.000000,0.000000,,,0.000000,0.000000,,
58.006652,0.000000,0.000000,,,0.000000,0.000000,,
58.011652,0.000000,0.000000,,,0.000000,0.000000,,
58.016652,0.000000,0.000000,,,0.000000,0.000000,,
58.021672,0.000000,0.000000,,,0.000000,0.000000,,
58.026652,0.000000,0.000000,,,0.000000,0.000000,,
58.031652,0.000000,0.000000,,,0.000000,0.000000,,
58.036652,0.000000,0.000000,,,0.000000,0.000000,,
58.041652,0.000000,0.000000,,,0.000000,0.000000,,
58.046672,0.000000,0.000000,,,0.000000,0.000000,,
58.051652,0.000000,0.000000,,,0.000000,0.000000,,
58.056652,0.000000,0.000000,,,0.000000,0.000000,,
58.061652,0.000000,0.000000,,,0.000000,0.000000,,
58.066652,0.000000,0.000000,,,0.000000,0.000000,,
58.071652,0.000000,0.000000,,,0.000000,0.000000,,
58.076652,0.000000,0.000000,,,0.000000,0.000000,,
58.081652,0.000000,0.000000,,,0.000000,0.000000,,
58.086652,0.000000,0.000000,,,0.000000,0.000000,,
58.091652,0.000000,0.000000,,,0.000000,0.000000,,
58.096652,0.000000,0.000000,,,0.000000,0.000000,,
58.101652,0.000000,0.000000,,,0.000000,0.000000,,
58.106652,0.000000,0.000000,,,0.000000,0.000000,,
58.111652,0.000000,0.000000,,,0.000000,0.000000,,
58.116652,0.000000,0.000000,,,0.000000,0.000000,,
58.121652,0.000000,0.000000,,,0.000000,0.000000,,
58.126652,0.000000,0.000000,,,0.000000,0.000000,,
58.131652,0.000000,0.000000,,,0.000000,0.000000,,
58.136652,0.000000,0.000000,,,0.000000,0.000000,,
58.141652,0.000000,0.000000,,,0.000000,0.000000,,
58.146652,0.000000,0.000000,,,0.000000,0.000000,,
58.151652,0.000000,0.000000,,,0.000000,0.000000,,
58.156652,0.000000,0.000000,,,0.000000,0.000000,,
58.161652,0.000000,0.000000,,,0.000000,0.000000,,
58.166652,0.000000,0.000000,,,0.000000,0.000000,,
58.171652,0.000000,0.000000,,,0.000000,0.000000,,
58.176652,0.000000,0.000000,,,0.000000,0.000000,,
58.181652,0.000000,0.000000,,,0.000000,0.000000,,
58.186652,0.000000,0.000000,,,0.000000,0.000000,,
58.191652,0.000000,0.000000,,,0.000000,0.000000,,
58.196652,0.000000,0.000000,,,0.000000,0.000000,,
58.201652,0.000000,0.000000,,,0.000000,0.000000,,
58.206652,0.000000,0.000000,,,0.000000,0.000000,,
58.211652,0.000000,0.000000,,,0.000000,0.000000,,
58.216652,0.000000,0.000000,,,0.000000,0.000000,,
58.221652,0.000000,0.000000,,,0.000000,0.000000,,
58.226652,0.000000,0.000000,,,0.000000,0.000000,,
58.231652,0.000000,0.000000,,,0.000000,0.000000,,
58.236652,0.000000,0.000000,,,0.000000,0.000000,,
58.241652,0.000000,0.000000,,,0.000000,0.000000,,
58.246652,0.000000,0.000000,,,0.000000,0.000000,,
58.251652,0.000000,0.000000,,,0.000000,0.000000,,
58.256652,0.000000,0.000000,,,0.000000,0.000000,,
58.261652,0.000000,0.000000,,,0.000000,0.000000,,
58.266652,0.000000,0.000000,,,0.000000,0.000000,,
58.271652,0.000000,0.000000,,,0.000000,0.000000,,
58.276652,0.000000,0.000000,,,0.000000,0.000000,,
58.281652,0.000000,0.000000,,,0.000000,0.000000,,
58.286652,0.000000,0.000000,,,0.000000,0.000000,,
58.291652,0.000000,0.000000,,,0.000000,0.000000,,
58.296652,0.000000,0.000000,,,0.000000,0.000000,,
58.301652,0.000000,0.000000,,,0.000000,0.000000,,
58.306652,0.000000,0.000000,,,0.000000,0.000000,,
58.311652,0.000000,0.000000,,,0.000000,0.000000,,
